Вокальные предсказания
"Ты перепоёшь оригинал, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты поругаешься с дуэт-партнёром, и все подумают, что ты профессионал. Даже ты."
"Ты станешь легендой, и он случайно станет хитом в Индонезии."
"Ты попадёшь в тир-лист, и попадёшь не в ту тональность — дважды."
"Ты забудешь текст, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты сделаешь ремикс, и бот скажет, что ты — топ."
"Ты услышишь свой фальш впервые, но тебя перебьёт кот в соседней комнате."
"Ты создашь мем, и подумаешь: «Я был не так уж плох»."
"Ты перепоёшь оригинал, но потом перезапишешь ещё 8 раз."
"Ты попадёшь на главную, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты забудешь текст, и тебя будут слушать даже в метро... без наушников."
"Ты попадёшь на главную, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты наткнёшься на себя в TikTok, и забудешь слова прямо в куплете."
"Ты создашь мем, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты поругаешься с дуэт-партнёром, и он случайно станет хитом в Индонезии."
"Ты наткнёшься на себя в TikTok, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты забудешь включить микрофон, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты обидишь вокалиста, и забудешь, что микрофон был отключён."
"Ты забудешь текст, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты поругаешься с дуэт-партнёром, и тебя будут слушать даже в метро... без наушников."
"Ты перепоёшь оригинал, и бот скажет, что ты — топ."
"Ты найдёшь соулмейта, и все подумают, что ты профессионал. Даже ты."
"Ты забудешь текст, и окажешься в рекомендациях у самого себя."
"Ты перепоёшь оригинал, и поймёшь, что умеешь рэп. Почти."
"Ты сделаешь ремикс, и все подумают, что ты профессионал. Даже ты."
"Ты попадёшь на главную, и забудешь слова прямо в куплете."
"Ты испугаешься собственного вокала, и все подумают, что ты профессионал. Даже ты."
"Ты наткнёшься на себя в TikTok, и один лайк поставит человек с ником 'vampir228'."
"Ты наткнёшься на себя в TikTok, но забудешь сохранить запись."
"Ты запишешь кавер, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты попадёшь на главную, и это увидит твой бывший. И лайкнет."
"Ты присоединишься к незнакомцу, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты споешь дуэт, но фоновый шум от чайника всё испортит."
"Ты услышишь свой фальш впервые, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты забудешь включить микрофон, но потом перезапишешь ещё 8 раз."
"Ты испугаешься собственного вокала, но фоновый шум от чайника всё испортит."
"Ты услышишь свой фальш впервые, и забудешь, что микрофон был отключён."
"Ты станешь легендой, но тебя перебьёт кот в соседней комнате."
"Ты случайно нажмёшь «удалить», но фоновый шум от чайника всё испортит."
"Ты поругаешься с дуэт-партнёром, и попадёшь не в ту тональность — дважды."
"Ты создашь мем, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты поругаешься с дуэт-партнёром, но забудешь сохранить запись."
"Ты попадёшь на главную, но потом перезапишешь ещё 8 раз."
"Ты наткнёшься на себя в TikTok, и бот скажет, что ты — топ."
